"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi ülke merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Çalıştığınız şirketteki unvanınız nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Senede kaç kez zam alıyorsunuz?","Ara zam / iyileştirme oranınız hangi aralıkta?","Yemek kartınız varsa günlük güncel miktar nedir?","Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
"Şub 4, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Sertifika sınav ücretleri","Yurt dışı","Amerika Birleşik Devletleri ",,Hybrid,21-50,"Fullstack Developer / Engineer","Yeni mezun","0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler",Dolar,Net,1,%11-%20,,"239.003 TL - 298.752 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,,"34 İstanbul",Remote,301-600,"Android Developer",Mid,"3-5 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,2,%51-%70,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Employee stock options",Türkiye,"Türkiye ","35 İzmir",Remote,1-10,"Software Engineer",Senior,"7-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
No-code / Low-code Araçları","Türk Lirası",Net,2,Almadım,,"82.653 TL - 105.102 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,,"34 İstanbul",Remote,11-20,"Fullstack Developer / Engineer",Senior,"5-7 Yıl","ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Kubernetes
Linux
SQL","Türk Lirası",Net,2,"%71 ve üzeri","210-250 TL","67.203 TL - 82.652 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Tıbbi izin",Türkiye,"Türkiye ",,Hybrid,151-300,"Frontend Developer / Engineer",Junior,"1-3 Yıl","ChatGPT
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,%36-%50,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Kubernetes
NoSQL
SQL","Türk Lirası",Net,2,%51-%70,150-180TL,"67.203 TL - 82.652 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Erzak yardımı",Türkiye,"Türkiye ","34 İstanbul",Remote,301-600,"iOS Developer",Junior,"1-3 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Swift","Türk Lirası",Net,2,%21-%35,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"iOS Developer",Mid,"1-3 Yıl",Swift,"Türk Lirası",Brüt,2,%51-%70,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)",Türkiye,"Türkiye ","35 İzmir",Hybrid,151-300,"SAP Consultant","Yeni mezun","0-1 Yıl","Microsoft Office Araçları
SAP
SQL","Türk Lirası",Net,1,%36-%50,"150 TL altı","17.002 TL - 22.451 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Şirket telefonu",Türkiye,"Fransa ","34 İstanbul",Hybrid,51-150,"Cyber Security Engineer",Mid,"1-3 Yıl",,Dolar,Net,1,Almadım,150-180TL,"44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Ofiste,1.000-5.000,"Q/A - Test Automation Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,2,%36-%50,150-180TL,"44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,,"34 İstanbul",Remote,11-20,"System Support Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları
SQL","Türk Lirası",Net,1,%36-%50,"250-300 TL","29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
İşçi tazminatı",Türkiye,,"07 Antalya",Hybrid,1-10,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,%21-%35,,"29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,,"06 Ankara",Ofiste,1-10,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,1,Almadım,"180-210 TL","26.803 TL - 29.801 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Senior,"7-9 Yıl","Java ve bağlı framework'ler
SQL","Türk Lirası",Net,"4 veya üzeri",%11-%20,"250-300 TL","54.952 TL - 67.202 TL"
"Şub 4, 2024",Erkek,"Personel servisi
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","41 Kocaeli",Hybrid,1.000-5.000,"Backend Developer / Engineer",Mid,"5-7 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler","Türk Lirası",Brüt,1,Almadım,,"54.952 TL - 67.202 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Hybrid,51-150,"Backend Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,"4 veya üzeri",%21-%35,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı",Türkiye,"Türkiye ","07 Antalya",Remote,301-600,"Frontend Developer / Engineer",Senior,"9-12 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,Almadım,"180-210 TL","67.203 TL - 82.652 TL"
"Şub 4, 2024",Erkek,"Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,1,Almadım,,"82.653 TL - 105.102 TL"
"Şub 4, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","35 İzmir",Ofiste,1-10,"Mobile Developer(Cross Platform)",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,Almadım,,"26.803 TL - 29.801 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Hayat sigortası
Udemy vb kurs üyelikleri
İşçi tazminatı
Tıbbi izin","Yurt dışı","Almanya ",,Hybrid,"10.000 ve üzeri","Data Analyst",Mid,"1-3 Yıl","Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
No-code / Low-code Araçları
Python
R
SAP
SQL",Euro,Net,2,%5-%10,,"54.952 TL - 67.202 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
İşsizlik sigortası","Yurt dışı","İsveç ","34 İstanbul",Remote,"10.000 ve üzeri","Software Engineer",Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
SQL","Türk Lirası",Net,2,%11-%20,150-180TL,"29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Team Lead",Senior,"9-12 Yıl","C# / .NET Framework
ChatGPT
SQL","Türk Lirası",Brüt,2,%11-%20,150-180TL,"82.653 TL - 105.102 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"Türkiye ","06 Ankara",Hybrid,151-300,"System Administrator",Mid,"3-5 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,2,%36-%50,"250-300 TL","54.952 TL - 67.202 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Erzak yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
İşçi tazminatı
Tıbbi izin",Türkiye,"Türkiye ","06 Ankara",Remote,151-300,"Fullstack Developer / Engineer",Senior,"3-5 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,2,"%71 ve üzeri","300 TL ve üzeri","105.103 TL - 127.552 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Birleşik Arap Emirlikleri ","34 İstanbul",Remote,1.000-5.000,"Q/A - Test Automation Engineer","Yeni mezun","0-1 Yıl","C# / .NET Framework
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,2,%36-%50,"300 TL ve üzeri","37.253 TL - 44.703 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Data Engineer",Junior,"0-1 Yıl","ChatGPT
Python
SQL","Türk Lirası",Net,2,Almadım,"250-300 TL","37.253 TL - 44.703 TL"
"Şub 4, 2024","Belirtmek İstemiyorum","Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,,"34 İstanbul",Remote,1.000-5.000,"Software Architect",Senior,"7-9 Yıl","Java ve bağlı framework'ler
Kotlin
Kubernetes
NoSQL
SQL",Dolar,Brüt,2,%21-%35,"250-300 TL","105.103 TL - 127.552 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Employee stock options",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Product Manager",Senior,"9-12 Yıl","Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,1,Almadım,"250-300 TL","195.003 TL - 239.002 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)",Türkiye,"Türkiye ","35 İzmir",Remote,1.000-5.000,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
DevOps araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%21-%35,150-180TL,"29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Hayat sigortası
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Software Engineer",Senior,"3-5 Yıl","DevOps araçları
Golang
Kubernetes","Türk Lirası",Net,2,%36-%50,150-180TL,"150.003 TL - 195.002 TL"
"Şub 4, 2024",Erkek,"Yemek kartı",Türkiye,"Türkiye ","34 İstanbul",Remote,1-10,"Android Developer","Yeni mezun","0-1 Yıl",Kotlin,"Türk Lirası",Net,1,%36-%50,"150 TL altı","22.452 TL - 26.802 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,1,%11-%20,"210-250 TL","37.253 TL - 44.703 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"İngiltere ","34 İstanbul",Hybrid,"10.000 ve üzeri","Data Engineer","Yeni mezun","0-1 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Python
SQL","Türk Lirası",Net,2,%11-%20,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Employee stock options
Udemy vb kurs üyelikleri
Netflix, Spotify vs","Yurt dışı","Amerika Birleşik Devletleri ","35 İzmir",Hybrid,51-150,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
SQL",Dolar,Net,2,%5-%10,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 4, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","34 İstanbul",Ofiste,1.000-5.000,"Backend Developer / Engineer","Yeni mezun","0-1 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,Almadım,,"29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Brüt,1,%21-%35,,"82.653 TL - 105.102 TL"
"Şub 4, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","34 İstanbul",Ofiste,1-10,"Fullstack Developer / Engineer",Mid,"7-9 Yıl","Adobe CC araçları
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
NoSQL
Python
R
SQL","Türk Lirası",Net,1,Almadım,"150 TL altı","17.002 TL - 22.451 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Sertifika sınav ücretleri
Netflix, Spotify vs
Tıbbi izin",Türkiye,"Türkiye ","06 Ankara",Hybrid,601-1.000,"Tech Lead",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler","Türk Lirası",Net,2,%21-%35,"250-300 TL","150.003 TL - 195.002 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Netflix, Spotify vs",Türkiye,"Türkiye ","34 İstanbul",Hybrid,21-50,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
NoSQL","Türk Lirası",Net,1,"%71 ve üzeri","150 TL altı","37.253 TL - 44.703 TL"
"Şub 4, 2024",Erkek,"Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","06 Ankara",Ofiste,151-300,"UI/UX Designer",Mid,"7-9 Yıl","Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","Türk Lirası",Net,2,%36-%50,"150 TL altı","37.253 TL - 44.703 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,1,%11-%20,"210-250 TL","37.253 TL - 44.703 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,51-150,"Fullstack Developer / Engineer",Senior,"5-7 Yıl","ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
NoSQL
SQL","Türk Lirası",Brüt,2,%36-%50,"250-300 TL","82.653 TL - 105.102 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri
İşsizlik sigortası",Türkiye,"Almanya ","34 İstanbul",Hybrid,1.000-5.000,"Q/A - Test Automation Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları","Türk Lirası",Brüt,2,%21-%35,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,DevOps,"Yeni mezun","0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,1,Almadım,"210-250 TL","17.002 TL - 22.451 TL"
"Şub 4, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","16 Bursa",Remote,11-20,"iOS Developer",Junior,"1-3 Yıl",Swift,"Türk Lirası",Net,1,Almadım,,"22.452 TL - 26.802 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Şirket aracı
Geliştirme araçları (laptop, telefon vs)","Yurt dışı","Almanya ","16 Bursa",Hybrid,21-50,"Project Manager",Senior,"12 Yıl ve üzeri","C# / .NET Framework
DevOps araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Euro,Net,1,Almadım,"150 TL altı","67.203 TL - 82.652 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1-10,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,2,%21-%35,150-180TL,"17.002 TL - 22.451 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Remote,"10.000 ve üzeri","Data Engineer",Junior,"1-3 Yıl","Python
SQL","Türk Lirası",Brüt,2,%36-%50,"180-210 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Şirket aracı",Türkiye,"Türkiye ","06 Ankara",Ofiste,11-20,"Network Engineer","Yeni mezun","0-1 Yıl",,"Türk Lirası",Net,2,Almadım,,"22.452 TL - 26.802 TL"
"Şub 4, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Hayat sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,"Frontend Developer / Engineer",Senior,"9-12 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,%21-%35,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri",Türkiye,,"34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Senior,"5-7 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,1,%21-%35,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,Hiçbiri,"Yurt dışı","Amerika Birleşik Devletleri ",,Remote,51-150,"Backend Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
SQL",Dolar,Net,1,Almadım,,"195.003 TL - 239.002 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri",Türkiye,,,Ofiste,5.000-10.000,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,2,%36-%50,"180-210 TL","67.203 TL - 82.652 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"Kuveyt ","34 İstanbul",Remote,1.000-5.000,"Enterprise Architect",Staff,"12 Yıl ve üzeri","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Flutter
No-code / Low-code Araçları
NoSQL","Türk Lirası",Brüt,2,%36-%50,"210-250 TL","195.003 TL - 239.002 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Product Owner",Senior,"7-9 Yıl","Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","Türk Lirası",Net,1,"%71 ve üzeri","250-300 TL","29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı",Türkiye,"Türkiye ","06 Ankara",Ofiste,11-20,"Embedded Developer / Engineer",Mid,"3-5 Yıl","C, C++
Linux
Python","Türk Lirası",Net,1,%36-%50,"180-210 TL","44.704 TL - 54.951 TL"
"Şub 4, 2024",Erkek,"Yemek kartı",Türkiye,"Türkiye ","16 Bursa",Ofiste,51-150,"Fullstack Developer / Engineer",Senior,"7-9 Yıl","ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
PHP
SQL","Türk Lirası",Net,2,%51-%70,150-180TL,"29.802 TL - 37.252 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Data Scientist",Junior,"1-3 Yıl","Python
SQL","Türk Lirası",Brüt,1,%36-%50,"250-300 TL","67.203 TL - 82.652 TL"
"Şub 4, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Embedded Developer / Engineer",Junior,"1-3 Yıl","C, C++
Linux","Türk Lirası",Net,1,"%71 ve üzeri","210-250 TL","37.253 TL - 44.703 TL"
"Şub 4, 2024",Erkek,Hiçbiri,"Yurt dışı","İngiltere ",,Remote,51-150,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler",Sterlin,Net,1,Almadım,,"44.704 TL - 54.951 TL"
"Şub 4, 2024",Kadın,"Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","55 Samsun",Ofiste,301-600,"IT Specialist",Mid,"1-3 Yıl","Microsoft Office Araçları
No-code / Low-code Araçları
SQL","Türk Lirası",Net,1,Almadım,,"26.803 TL - 29.801 TL"
